"Year","Temp"
1879,16.5166666666667
1880,16.8333333333333
1881,16.8416666666667
1882,16.8833333333333
1883,16.7583333333333
1884,16.2083333333333
1885,14.9583333333333
1886,15.25
1887,16.125
1888,16.1833333333333
1889,16.15
1890,17.0916666666667
1891,15.9083333333333
1892,15.3583333333333
1893,15.9583333333333
1894,16.4666666666667
1895,15.3916666666667
1896,16.7833333333333
1897,16.55
1898,16.3666666666667
1899,16.475
1900,16.5916666666667
1901,15.2333333333333
1902,16.1583333333333
1903,15.6083333333333
1904,15.65
1905,15.8333333333333
1906,16.1833333333333
1907,16.5166666666667
1908,16.5166666666667
1909,16.3416666666667
1910,15.8833333333333
1911,17.1583333333333
1912,15.6166666666667
1913,16.625
1914,16.1583333333333
1915,16.3083333333333
1916,16.3416666666667
1917,15.325
1918,16.525
1919,16.7916666666667
1920,15.5833333333333
1921,17.5
1922,16.9833333333333
1923,16.3666666666667
1924,15.6666666666667
1925,17.45
1926,16.125
1927,17.3416666666667
1928,15.9583333333333
1929,16.3
1930,16.3809166666667
1931,17.2113333333333
1932,16.8085
1933,17.3300833333333
1934,16.24875
1935,16.526
1936,16.7960833333333
1937,16.3728333333333
1938,17.2515
1939,17.0794166666667
1940,15.3979166666667
1941,16.9821666666667
1942,16.41275
1943,16.7671666666667
1944,16.6833333333333
1945,16.8841666666667
1946,17.1215
1947,15.9828333333333
1948,16.8841666666667
1949,17.0600833333333
1950,16.5115833333333
1951,16.6874166666667
1952,16.9350833333333
1953,16.9883333333333
1954,17.22225
1955,16.9165833333333
1956,17.3195
1957,17.2036666666667
1958,15.9953333333333
1959,16.8888333333333
1960,16.0693333333333
1961,15.6388333333333
1962,15.71775
1963,15.324
1964,15.8148333333333
1965,15.9444166666667
1966,15.125
1967,15.3841666666667
1968,15.2779166666667
1969,15.61575
1970,16.4213333333333
1971,16.2916666666667
1972,16.014
1973,16.3055
1974,16.6759166666667
1975,16.3055833333333
1976,15.0786666666667
1977,15.7084166666667
1978,16.0323333333333
1979,16.4213333333333
1980,17.3474166666667
1981,16.5185
1982,16.6205
1983,15.6203333333333
1984,16.7121666666667
1985,16.9344166666667
1986,17.7374166666667
1987,17.2291666666667
1988,16.9360833333333
1989,17.17475
1990,18.4341666666667
1991,17.7499166666667
1992,16.7264166666667
1993,17.54075
1994,18.0320833333333
1995,17.44625
1996,17.2091666666667
1997,16.33425
1998,17.5698333333333
1999,17.3921666666667
2000,16.8390833333333
2001,17.0421666666667
2002,17.2268333333333
2003,16.6370833333333
2004,17.1840833333333
2005,16.94825
2006,17.5581666666667
2007,18.1259166666667
2008,17.0306666666667
2009,16.8455
2010,17.1135
2011,17.9738333333333
2012,18.62325
