phi.hat,X,mBIC,t.BIC,dBIC,X.1,mMBIC,t.MBIC,dMBIC,X.2,mMDL,t.MDL,dMDL,X.3,mBS,t.BS,dBS,X.4,mWBS,t.WBS,dWBS
0.067118204,BIC,3,"122, 256, 375",0.02,MBIC,3,"124, 250, 375",0.008,MDL,3,"124, 250, 375",0.008,BS,1,405,2.058,WBS,3,"373, 122, 248",0.02
-0.031206649,BIC,3,"129, 251, 372",0.014,MBIC,3,"129, 251, 372",0.014,MDL,3,"125, 251, 372",0.01,BS,3,"123, 374, 265",0.038,WBS,3,"370, 249, 127",0.018
0.055110555,BIC,3,"121, 251, 374",0.014,MBIC,3,"121, 251, 374",0.014,MDL,3,"120, 250, 376",0.014,BS,1,119,2.014,WBS,3,"249, 374, 119",0.022
0.026741935,BIC,3,"125, 241, 381",0.032,MBIC,3,"126, 241, 381",0.03,MDL,3,"121, 241, 381",0.04,BS,3,"379, 124, 239",0.034,WBS,3,"239, 124, 379",0.034
0.002018778,BIC,3,"124, 251, 371",0.014,MBIC,3,"124, 251, 371",0.014,MDL,3,"124, 232, 377",0.044,BS,3,"122, 375, 249",0.014,WBS,3,"369, 249, 122",0.026
0.011103531,BIC,3,"127, 251, 377",0.004,MBIC,3,"127, 251, 377",0.004,MDL,5,"49, 50, 127, 251, 380",2.01,BS,1,375,2.002,WBS,3,"375, 249, 125",0.008
-0.025014437,BIC,3,"159, 243, 375",0.084,MBIC,3,"159, 242, 391",0.114,MDL,6,"3, 4, 7, 127, 242, 391",3.05,BS,3,"125, 389, 247",0.036,WBS,3,"240, 157, 389",0.11
0.054206437,BIC,4,"126, 174, 274, 378",1.05,MBIC,4,"125, 174, 274, 377",1.05,MDL,4,"126, 174, 274, 377",1.048,BS,3,"118, 375, 213",0.094,WBS,3,"124, 272, 375",0.048
0.011856878,BIC,3,"124, 249, 376",0.008,MBIC,3,"121, 251, 378",0.014,MDL,3,"124, 251, 376",0.004,BS,3,"249, 119, 376",0.018,WBS,3,"122, 374, 249",0.016
0.030228047,BIC,3,"127, 255, 381",0.02,MBIC,3,"127, 255, 381",0.02,MDL,3,"127, 255, 381",0.02,BS,3,"378, 125, 253",0.01,WBS,3,"125, 253, 378",0.01
-0.052518231,BIC,3,"125, 255, 376",0.01,MBIC,3,"119, 255, 376",0.022,MDL,3,"120, 255, 376",0.02,BS,3,"374, 118, 253",0.024,WBS,3,"118, 253, 374",0.024
-0.013947166,BIC,3,"126, 248, 372",0.014,MBIC,3,"126, 248, 373",0.012,MDL,3,"126, 248, 372",0.014,BS,3,"124, 248, 373",0.016,WBS,4,"246, 371, 124, 489",1.024
